"Country or Area","Year","Item","Value"
"United Kingdom of Great Britain and Northern Ireland","2021","Final consumption expenditure","1885657000000"
"United Kingdom of Great Britain and Northern Ireland","2021","Household consumption expenditure (including Non-profit institutions serving households)","1376108000000"
"United Kingdom of Great Britain and Northern Ireland","2021","General government final consumption expenditure","509549000000"
"United Kingdom of Great Britain and Northern Ireland","2021","Gross capital formation","411905000000"
"United Kingdom of Great Britain and Northern Ireland","2021","Gross fixed capital formation (including Acquisitions less disposals of valuables)","403616000000"
"United Kingdom of Great Britain and Northern Ireland","2021","Changes in inventories","8289000000"
"United Kingdom of Great Britain and Northern Ireland","2021","Exports of goods and services","636325000000"
"United Kingdom of Great Britain and Northern Ireland","2021","Imports of goods and services","653897000000"
"United Kingdom of Great Britain and Northern Ireland","2021","Gross Domestic Product (GDP)","2276715000000"
"United Kingdom of Great Britain and Northern Ireland","2020","Final consumption expenditure","1737997000000"
"United Kingdom of Great Britain and Northern Ireland","2020","Household consumption expenditure (including Non-profit institutions serving households)","1262883000000"
"United Kingdom of Great Britain and Northern Ireland","2020","General government final consumption expenditure","475114000000"
"United Kingdom of Great Britain and Northern Ireland","2020","Gross capital formation","364040000000"
"United Kingdom of Great Britain and Northern Ireland","2020","Gross fixed capital formation (including Acquisitions less disposals of valuables)","368505000000"
"United Kingdom of Great Britain and Northern Ireland","2020","Changes in inventories","-4465000000"
"United Kingdom of Great Britain and Northern Ireland","2020","Exports of goods and services","616786000000"
"United Kingdom of Great Britain and Northern Ireland","2020","Imports of goods and services","609229000000"
"United Kingdom of Great Britain and Northern Ireland","2020","Gross Domestic Product (GDP)","2109594000000"
"United Kingdom of Great Britain and Northern Ireland","2019","Final consumption expenditure","1865620000000"
"United Kingdom of Great Britain and Northern Ireland","2019","Household consumption expenditure (including Non-profit institutions serving households)","1440041000000"
"United Kingdom of Great Britain and Northern Ireland","2019","General government final consumption expenditure","425579000000"
"United Kingdom of Great Britain and Northern Ireland","2019","Gross capital formation","408876000000"
"United Kingdom of Great Britain and Northern Ireland","2019","Gross fixed capital formation (including Acquisitions less disposals of valuables)","396379000000"
"United Kingdom of Great Britain and Northern Ireland","2019","Changes in inventories","12497000000"
"United Kingdom of Great Britain and Northern Ireland","2019","Exports of goods and services","699654000000"
"United Kingdom of Great Britain and Northern Ireland","2019","Imports of goods and services","735802000000"
"United Kingdom of Great Britain and Northern Ireland","2019","Gross Domestic Product (GDP)","2238348000000"
"United Kingdom of Great Britain and Northern Ireland","2018","Final consumption expenditure","1799889000000"
"United Kingdom of Great Britain and Northern Ireland","2018","Household consumption expenditure (including Non-profit institutions serving households)","1401531000000"
"United Kingdom of Great Britain and Northern Ireland","2018","General government final consumption expenditure","398358000000"
"United Kingdom of Great Britain and Northern Ireland","2018","Gross capital formation","390529000000"
"United Kingdom of Great Britain and Northern Ireland","2018","Gross fixed capital formation (including Acquisitions less disposals of valuables)","389290000000"
"United Kingdom of Great Britain and Northern Ireland","2018","Changes in inventories","1239000000"
"United Kingdom of Great Britain and Northern Ireland","2018","Exports of goods and services","673865000000"
"United Kingdom of Great Britain and Northern Ireland","2018","Imports of goods and services","706873000000"
"United Kingdom of Great Britain and Northern Ireland","2018","Gross Domestic Product (GDP)","2157410000000"
"United Kingdom of Great Britain and Northern Ireland","2017","Final consumption expenditure","1732736000000"
"United Kingdom of Great Britain and Northern Ireland","2017","Household consumption expenditure (including Non-profit institutions serving households)","1344726000000"
"United Kingdom of Great Britain and Northern Ireland","2017","General government final consumption expenditure","388010000000"
"United Kingdom of Great Britain and Northern Ireland","2017","Gross capital formation","382602000000"
"United Kingdom of Great Britain and Northern Ireland","2017","Gross fixed capital formation (including Acquisitions less disposals of valuables)","378725000000"
"United Kingdom of Great Britain and Northern Ireland","2017","Changes in inventories","3877000000"
"United Kingdom of Great Britain and Northern Ireland","2017","Exports of goods and services","639523000000"
"United Kingdom of Great Britain and Northern Ireland","2017","Imports of goods and services","669853000000"
"United Kingdom of Great Britain and Northern Ireland","2017","Gross Domestic Product (GDP)","2085008000000"
"United Kingdom of Great Britain and Northern Ireland","2016","Final consumption expenditure","1679879000000"
"United Kingdom of Great Britain and Northern Ireland","2016","Household consumption expenditure (including Non-profit institutions serving households)","1297313000000"
"United Kingdom of Great Britain and Northern Ireland","2016","General government final consumption expenditure","382566000000"
"United Kingdom of Great Britain and Northern Ireland","2016","Gross capital formation","358677000000"
"United Kingdom of Great Britain and Northern Ireland","2016","Gross fixed capital formation (including Acquisitions less disposals of valuables)","356687000000"
"United Kingdom of Great Britain and Northern Ireland","2016","Changes in inventories","1990000000"
"United Kingdom of Great Britain and Northern Ireland","2016","Exports of goods and services","572855000000"
"United Kingdom of Great Britain and Northern Ireland","2016","Imports of goods and services","611950000000"
"United Kingdom of Great Britain and Northern Ireland","2016","Gross Domestic Product (GDP)","1999461000000"
"United Kingdom of Great Britain and Northern Ireland","2015","Final consumption expenditure","1611479000000"
"United Kingdom of Great Britain and Northern Ireland","2015","Household consumption expenditure (including Non-profit institutions serving households)","1236772000000"
"United Kingdom of Great Britain and Northern Ireland","2015","General government final consumption expenditure","374707000000"
"United Kingdom of Great Britain and Northern Ireland","2015","Gross capital formation","341261000000"
"United Kingdom of Great Britain and Northern Ireland","2015","Gross fixed capital formation (including Acquisitions less disposals of valuables)","334105000000"
"United Kingdom of Great Britain and Northern Ireland","2015","Changes in inventories","7156000000"
"United Kingdom of Great Britain and Northern Ireland","2015","Exports of goods and services","530778000000"
"United Kingdom of Great Britain and Northern Ireland","2015","Imports of goods and services","562520000000"
"United Kingdom of Great Britain and Northern Ireland","2015","Gross Domestic Product (GDP)","1920998000000"
"United Kingdom of Great Britain and Northern Ireland","2014","Final consumption expenditure","1573541000000"
"United Kingdom of Great Britain and Northern Ireland","2014","Household consumption expenditure (including Non-profit institutions serving households)","1203205000000"
"United Kingdom of Great Britain and Northern Ireland","2014","General government final consumption expenditure","370336000000"
"United Kingdom of Great Britain and Northern Ireland","2014","Gross capital formation","327984000000"
"United Kingdom of Great Britain and Northern Ireland","2014","Gross fixed capital formation (including Acquisitions less disposals of valuables)","315337000000"
"United Kingdom of Great Britain and Northern Ireland","2014","Changes in inventories","12647000000"
"United Kingdom of Great Britain and Northern Ireland","2014","Exports of goods and services","528856000000"
"United Kingdom of Great Britain and Northern Ireland","2014","Imports of goods and services","567554000000"
"United Kingdom of Great Britain and Northern Ireland","2014","Gross Domestic Product (GDP)","1862827000000"
"United Kingdom of Great Britain and Northern Ireland","2013","Final consumption expenditure","1516352000000"
"United Kingdom of Great Britain and Northern Ireland","2013","Household consumption expenditure (including Non-profit institutions serving households)","1157486000000"
"United Kingdom of Great Britain and Northern Ireland","2013","General government final consumption expenditure","358866000000"
"United Kingdom of Great Britain and Northern Ireland","2013","Gross capital formation","293696000000"
"United Kingdom of Great Britain and Northern Ireland","2013","Gross fixed capital formation (including Acquisitions less disposals of valuables)","291420000000"
"United Kingdom of Great Britain and Northern Ireland","2013","Changes in inventories","2276000000"
"United Kingdom of Great Britain and Northern Ireland","2013","Exports of goods and services","535566000000"
"United Kingdom of Great Britain and Northern Ireland","2013","Imports of goods and services","563318000000"
"United Kingdom of Great Britain and Northern Ireland","2013","Gross Domestic Product (GDP)","1782296000000"
"United Kingdom of Great Britain and Northern Ireland","2012","Final consumption expenditure","1460751000000"
"United Kingdom of Great Britain and Northern Ireland","2012","Household consumption expenditure (including Non-profit institutions serving households)","1104480000000"
"United Kingdom of Great Britain and Northern Ireland","2012","General government final consumption expenditure","356271000000"
"United Kingdom of Great Britain and Northern Ireland","2012","Gross capital formation","272036000000"
"United Kingdom of Great Britain and Northern Ireland","2012","Gross fixed capital formation (including Acquisitions less disposals of valuables)","270059000000"
"United Kingdom of Great Britain and Northern Ireland","2012","Changes in inventories","1977000000"
"United Kingdom of Great Britain and Northern Ireland","2012","Exports of goods and services","520389000000"
"United Kingdom of Great Britain and Northern Ireland","2012","Imports of goods and services","539935000000"
"United Kingdom of Great Britain and Northern Ireland","2012","Gross Domestic Product (GDP)","1713241000000"
"United Kingdom of Great Britain and Northern Ireland","2011","Final consumption expenditure","1416261000000"
"United Kingdom of Great Britain and Northern Ireland","2011","Household consumption expenditure (including Non-profit institutions serving households)","1067711000000"
"United Kingdom of Great Britain and Northern Ireland","2011","General government final consumption expenditure","348550000000"
"United Kingdom of Great Britain and Northern Ireland","2011","Gross capital formation","264125000000"
"United Kingdom of Great Britain and Northern Ireland","2011","Gross fixed capital formation (including Acquisitions less disposals of valuables)","260900000000"
"United Kingdom of Great Britain and Northern Ireland","2011","Changes in inventories","3225000000"
"United Kingdom of Great Britain and Northern Ireland","2011","Exports of goods and services","517447000000"
"United Kingdom of Great Britain and Northern Ireland","2011","Imports of goods and services","533622000000"
"United Kingdom of Great Britain and Northern Ireland","2011","Gross Domestic Product (GDP)","1664211000000"
"United Kingdom of Great Britain and Northern Ireland","2010","Final consumption expenditure","1377815000000"
"United Kingdom of Great Britain and Northern Ireland","2010","Household consumption expenditure (including Non-profit institutions serving households)","1030581000000"
"United Kingdom of Great Britain and Northern Ireland","2010","General government final consumption expenditure","347234000000"
"United Kingdom of Great Britain and Northern Ireland","2010","Gross capital formation","261773000000"
"United Kingdom of Great Britain and Northern Ireland","2010","Gross fixed capital formation (including Acquisitions less disposals of valuables)","255649000000"
"United Kingdom of Great Britain and Northern Ireland","2010","Changes in inventories","6124000000"
"United Kingdom of Great Britain and Northern Ireland","2010","Exports of goods and services","460490000000"
"United Kingdom of Great Britain and Northern Ireland","2010","Imports of goods and services","487697000000"
"United Kingdom of Great Britain and Northern Ireland","2010","Gross Domestic Product (GDP)","1612381000000"
"United Kingdom of Great Britain and Northern Ireland","2009","Final consumption expenditure","1340119000000"
"United Kingdom of Great Britain and Northern Ireland","2009","Household consumption expenditure (including Non-profit institutions serving households)","998848000000"
"United Kingdom of Great Britain and Northern Ireland","2009","General government final consumption expenditure","341271000000"
"United Kingdom of Great Britain and Northern Ireland","2009","Gross capital formation","232435000000"
"United Kingdom of Great Britain and Northern Ireland","2009","Gross fixed capital formation (including Acquisitions less disposals of valuables)","250871000000"
"United Kingdom of Great Britain and Northern Ireland","2009","Changes in inventories","-18436000000"
"United Kingdom of Great Britain and Northern Ireland","2009","Exports of goods and services","413254000000"
"United Kingdom of Great Britain and Northern Ireland","2009","Imports of goods and services","433926000000"
"United Kingdom of Great Britain and Northern Ireland","2009","Gross Domestic Product (GDP)","1551882000000"
"United Kingdom of Great Britain and Northern Ireland","2008","Final consumption expenditure","1344338000000"
"United Kingdom of Great Britain and Northern Ireland","2008","Household consumption expenditure (including Non-profit institutions serving households)","1018976000000"
"United Kingdom of Great Britain and Northern Ireland","2008","General government final consumption expenditure","325362000000"
"United Kingdom of Great Britain and Northern Ireland","2008","Gross capital formation","278917000000"
"United Kingdom of Great Britain and Northern Ireland","2008","Gross fixed capital formation (including Acquisitions less disposals of valuables)","279536000000"
"United Kingdom of Great Britain and Northern Ireland","2008","Changes in inventories","-619000000"
"United Kingdom of Great Britain and Northern Ireland","2008","Exports of goods and services","435499000000"
"United Kingdom of Great Britain and Northern Ireland","2008","Imports of goods and services","464017000000"
"United Kingdom of Great Britain and Northern Ireland","2008","Gross Domestic Product (GDP)","1594737000000"
"United Kingdom of Great Britain and Northern Ireland","2007","Final consumption expenditure","1290188000000"
"United Kingdom of Great Britain and Northern Ireland","2007","Household consumption expenditure (including Non-profit institutions serving households)","985445000000"
"United Kingdom of Great Britain and Northern Ireland","2007","General government final consumption expenditure","304743000000"
"United Kingdom of Great Britain and Northern Ireland","2007","Gross capital formation","286454000000"
"United Kingdom of Great Britain and Northern Ireland","2007","Gross fixed capital formation (including Acquisitions less disposals of valuables)","279412000000"
"United Kingdom of Great Britain and Northern Ireland","2007","Changes in inventories","7042000000"
"United Kingdom of Great Britain and Northern Ireland","2007","Exports of goods and services","392928000000"
"United Kingdom of Great Britain and Northern Ireland","2007","Imports of goods and services","423778000000"
"United Kingdom of Great Britain and Northern Ireland","2007","Gross Domestic Product (GDP)","1545792000000"
"United Kingdom of Great Britain and Northern Ireland","2006","Final consumption expenditure","1232290000000"
"United Kingdom of Great Britain and Northern Ireland","2006","Household consumption expenditure (including Non-profit institutions serving households)","939848000000"
"United Kingdom of Great Britain and Northern Ireland","2006","General government final consumption expenditure","292442000000"
"United Kingdom of Great Britain and Northern Ireland","2006","Gross capital formation","269019000000"
"United Kingdom of Great Britain and Northern Ireland","2006","Gross fixed capital formation (including Acquisitions less disposals of valuables)","261476000000"
"United Kingdom of Great Britain and Northern Ireland","2006","Changes in inventories","7543000000"
"United Kingdom of Great Britain and Northern Ireland","2006","Exports of goods and services","404034000000"
"United Kingdom of Great Britain and Northern Ireland","2006","Imports of goods and services","432506000000"
"United Kingdom of Great Britain and Northern Ireland","2006","Gross Domestic Product (GDP)","1472837000000"
"United Kingdom of Great Britain and Northern Ireland","2005","Final consumption expenditure","1179760000000"
"United Kingdom of Great Britain and Northern Ireland","2005","Household consumption expenditure (including Non-profit institutions serving households)","904635000000"
"United Kingdom of Great Britain and Northern Ireland","2005","General government final consumption expenditure","275125000000"
"United Kingdom of Great Britain and Northern Ireland","2005","Gross capital formation","250454000000"
"United Kingdom of Great Britain and Northern Ireland","2005","Gross fixed capital formation (including Acquisitions less disposals of valuables)","244180000000"
"United Kingdom of Great Britain and Northern Ireland","2005","Changes in inventories","6274000000"
"United Kingdom of Great Britain and Northern Ireland","2005","Exports of goods and services","352392000000"
"United Kingdom of Great Britain and Northern Ireland","2005","Imports of goods and services","382963000000"
"United Kingdom of Great Britain and Northern Ireland","2005","Gross Domestic Product (GDP)","1399643000000"
"United Kingdom of Great Britain and Northern Ireland","2004","Final consumption expenditure","1120581000000"
"United Kingdom of Great Britain and Northern Ireland","2004","Household consumption expenditure (including Non-profit institutions serving households)","863128000000"
"United Kingdom of Great Britain and Northern Ireland","2004","General government final consumption expenditure","257453000000"
"United Kingdom of Great Britain and Northern Ireland","2004","Gross capital formation","234255000000"
"United Kingdom of Great Britain and Northern Ireland","2004","Gross fixed capital formation (including Acquisitions less disposals of valuables)","229295000000"
"United Kingdom of Great Britain and Northern Ireland","2004","Changes in inventories","4960000000"
"United Kingdom of Great Britain and Northern Ireland","2004","Exports of goods and services","317353000000"
"United Kingdom of Great Britain and Northern Ireland","2004","Imports of goods and services","348769000000"
"United Kingdom of Great Britain and Northern Ireland","2004","Gross Domestic Product (GDP)","1323420000000"
"United Kingdom of Great Britain and Northern Ireland","2003","Final consumption expenditure","1061352000000"
"United Kingdom of Great Britain and Northern Ireland","2003","Household consumption expenditure (including Non-profit institutions serving households)","823675000000"
"United Kingdom of Great Britain and Northern Ireland","2003","General government final consumption expenditure","237677000000"
"United Kingdom of Great Britain and Northern Ireland","2003","Gross capital formation","225747000000"
"United Kingdom of Great Britain and Northern Ireland","2003","Gross fixed capital formation (including Acquisitions less disposals of valuables)","220819000000"
"United Kingdom of Great Britain and Northern Ireland","2003","Changes in inventories","4928000000"
"United Kingdom of Great Britain and Northern Ireland","2003","Exports of goods and services","301953000000"
"United Kingdom of Great Britain and Northern Ireland","2003","Imports of goods and services","329377000000"
"United Kingdom of Great Britain and Northern Ireland","2003","Gross Domestic Product (GDP)","1259675000000"
"United Kingdom of Great Britain and Northern Ireland","2002","Final consumption expenditure","1002710000000"
"United Kingdom of Great Britain and Northern Ireland","2002","Household consumption expenditure (including Non-profit institutions serving households)","786105000000"
"United Kingdom of Great Britain and Northern Ireland","2002","General government final consumption expenditure","216605000000"
"United Kingdom of Great Britain and Northern Ireland","2002","Gross capital formation","217653000000"
"United Kingdom of Great Britain and Northern Ireland","2002","Gross fixed capital formation (including Acquisitions less disposals of valuables)","212141000000"
"United Kingdom of Great Britain and Northern Ireland","2002","Changes in inventories","5512000000"
"United Kingdom of Great Britain and Northern Ireland","2002","Exports of goods and services","291247000000"
"United Kingdom of Great Britain and Northern Ireland","2002","Imports of goods and services","320095000000"
"United Kingdom of Great Britain and Northern Ireland","2002","Gross Domestic Product (GDP)","1191515000000"
"United Kingdom of Great Britain and Northern Ireland","2001","Final consumption expenditure","957884000000"
"United Kingdom of Great Britain and Northern Ireland","2001","Household consumption expenditure (including Non-profit institutions serving households)","759485000000"
"United Kingdom of Great Britain and Northern Ireland","2001","General government final consumption expenditure","198399000000"
"United Kingdom of Great Britain and Northern Ireland","2001","Gross capital formation","207628000000"
"United Kingdom of Great Britain and Northern Ireland","2001","Gross fixed capital formation (including Acquisitions less disposals of valuables)","203675000000"
"United Kingdom of Great Britain and Northern Ireland","2001","Changes in inventories","3953000000"
"United Kingdom of Great Britain and Northern Ireland","2001","Exports of goods and services","292310000000"
"United Kingdom of Great Britain and Northern Ireland","2001","Imports of goods and services","312499000000"
"United Kingdom of Great Britain and Northern Ireland","2001","Gross Domestic Product (GDP)","1145323000000"
